,consumption_kWh,mpr,period_from,period_to,meter_unit,cf,calorific_value,charge_rate_per_kWh,consumption_charge,daily_charge_total,daily_charge_rate,ccl_rate_per_kWh,meter_present_reading,meter_present_type,meter_previous_reading,meter_previous_type
106,1309475.5,7890,2021-07-01,2021-07-31,HCUF,1.0,39.56,0.021246,27821.12,5636.7,['£187.89'],0.00465,399318,C,441400,C
107,2516.2,1234,2021-04-30,2021-05-31,M3,1.02264,39.19355,0.017414,43.82,37.2,['£1.20'],0.0,18063,A,18289,A
108,0.0,9012,2022-06-30,2022-07-31,M3,1.02264,39.7871,0.029258,0.0,179.49,['£5.79'],0.0,111972,A,111972,A
109,4460.2,3456,2021-02-28,2021-03-31,M3,1.02264,39.15484,0.015326,68.36,44.64,['£1.44'],0.0,29496,A,29897,A
110,2623140.4,7890,2022-04-30,2022-05-25,HCUF,1.0,39.864,0.037457,98254.97,1913.32,['£61.72'],0.0056799999999999,1427420,C,1511095,A
111,0.0,7890,2022-05-25,2022-05-31,HCUF,1.0,39.81667,0.037457,0.0,1913.32,['£61.72'],,1511095,A,1511095,E
112,738.3,3456,2021-07-31,2021-08-31,M3,1.02264,39.38065,0.023226,17.15,44.64,['£1.44'],0.0,30613,A,30679,A
113,148510.6,5678,2021-02-28,2021-03-31,M3,1.01785,39.15484,0.015257,2265.83,438.65,['£14.15'],0.00406,889610,A,903025,A
114,750.2,1234,2021-05-31,2021-06-30,M3,1.02264,39.41667,0.016534,12.4,36.0,['£1.20'],0.0,18289,A,18356,A
115,161650.5,5678,2020-11-30,2020-12-31,M3,1.01785,39.3,0.014499,2343.77,438.65,['£14.15'],0.00406,844369,A,858917,C
116,4228.2,3456,2021-03-31,2021-04-30,M3,1.02264,39.27333,0.016163,68.34,43.2,['£1.44'],0.0,29897,A,30276,A
117,5425.6,3456,2020-11-30,2020-12-31,M3,1.02264,39.3,0.014568,79.04,44.64,['£1.44'],0.00406,27981,A,28467,A
118,4083.1,3456,2022-03-31,2022-04-30,M3,1.02264,39.38,0.034364,140.31,57.3,['£1.91'],0.0,33304,A,33669,A
119,2758676.7,7890,2022-07-31,2022-08-28,HCUF,1.0,39.72143,0.013731,37879.39,1903.4,['£61.40'],0.0056799999999999,1673423,E,1761717,A
120,241776.2,7890,2022-08-28,2022-08-31,HCUF,1.0,39.6,0.013731,3319.83,1903.4,['£61.40'],,1761717,A,1769479,C
121,5205.7,1234,2020-12-31,2021-01-31,M3,1.02264,39.07419,0.016549,86.15,25.73,['£0.83'],0.00406,16578,A,17047,A
122,173857.3,5678,2022-11-30,2022-12-31,M3,1.01785,39.30645,0.044996,7822.88,950.46,['£30.66'],0.0056799999999999,1060942,C,1076586,C
123,4301342.1,7890,2022-12-31,2023-01-31,HCUF,1.0,39.34516,0.0309359999999999,133066.32,1903.4,['£61.40'],0.0056799999999999,2178951,C,2317936,C
124,6057.7,3456,2022-12-31,2023-01-31,M3,1.02264,39.34516,0.0309359999999999,187.4,59.21,['£1.91'],0.0056799999999999,35088,A,35630,A
125,3612.7,1234,2022-02-28,2022-03-31,M3,1.02264,39.37419,0.026622,96.18,37.2,['£1.20'],0.0,20227,A,20550,A
126,4811.6,1234,2020-11-30,2020-12-31,M3,1.02264,39.3,0.014568,70.1,25.73,['£0.83'],0.00406,16147,A,16578,A
127,2492.7,1234,2023-03-31,2023-04-30,M3,1.02264,39.52667,0.0460109999999999,114.69,44.7,['£1.49'],0.0,23103,A,23325,A
128,4053.4,3456,2023-03-31,2023-04-30,M3,1.02264,39.52667,0.0460109999999999,186.5,53.7,['£1.79'],0.0,36523,A,36884,A
129,3571705.3,7890,2023-03-31,2023-04-30,HCUF,1.0,39.52667,0.045716,163284.08,17622.0,['£587.40'],0.00672,2569465,A,2684344,C
130,19728.0,9012,2023-03-31,2023-04-30,M3,1.02264,39.52667,0.0459239999999999,905.99,137.7,['£4.59'],0.00672,120690,A,122447,A
131,102949.8,5678,2023-03-31,2023-04-30,M3,1.01785,39.52667,0.045919,4727.35,623.7,['£20.79'],0.00672,1116013,A,1125225,A
132,1379.5,3456,2023-05-31,2023-06-30,M3,1.02264,40.13333,0.030389,41.92,53.7,['£1.79'],0.0,36957,A,37078,A
133,67505.8,5678,2023-04-30,2023-05-31,M3,1.01785,39.80645,0.035952,2426.97,644.49,['£20.79'],0.00672,1125225,A,1131223,C
134,3844.6,9012,2023-04-30,2023-05-31,M3,1.02264,39.80645,0.0359569999999999,138.24,142.29,['£4.59'],0.0,122447,A,122787,A
135,0.0,9012,2023-05-31,2023-06-30,M3,1.02264,40.13333,0.030302,0.0,137.7,['£4.59'],0.0,122787,A,122787,A
136,1597554.4,7890,2023-04-30,2023-05-31,HCUF,1.0,39.80645,0.035749,57110.97,35831.4,['£587.40'],0.00672,2684344,C,2735366,C
137,2250560.7,7890,2023-05-31,2023-06-30,HCUF,1.0,40.13333,0.030094,67728.37,35831.4,['£587.40'],,2735366,C,2806658,A
138,825.5,3456,2023-04-30,2023-05-31,M3,1.02264,39.80645,0.036044,29.75,55.49,['£1.79'],0.0,36884,A,36957,A
139,54216.6,5678,2023-05-31,2023-06-30,M3,1.01785,40.13333,0.030297,1642.6,623.7,['£20.79'],0.00672,1131223,C,1136001,E
140,467.3,1234,2023-08-31,2023-09-30,M3,1.02264,40.12333,0.031827,14.87,44.7,['£1.49'],0.0,23482,A,23523,A
141,0.0,9012,2023-08-31,2023-09-30,M3,1.02264,40.12333,0.03174,0.0,137.7,['£4.59'],0.0,122787,A,122787,A
142,638.3,3456,2023-08-31,2023-09-30,M3,1.02264,40.12333,0.031827,20.31,53.7,['£1.79'],0.0,37217,A,37273,A
143,40340.4,5678,2023-08-31,2023-09-30,M3,1.01785,40.12333,0.031735,1280.2,623.7,['£20.79'],0.00672,1141033,A,1144589,A
144,12435.6,9012,2023-09-30,2023-10-31,M3,1.02264,39.40323,0.0245,304.67,142.29,['£4.59'],0.00672,122787,A,123898,A
145,1332.0,1234,2023-09-30,2023-10-31,M3,1.02264,39.40323,0.0245869999999999,32.75,46.19,['£1.49'],0.0,23523,A,23642,A
146,2970364.7,7890,2023-09-30,2023-10-31,HCUF,1.0,39.40323,0.0242919999999999,72156.1,18209.4,['£587.40'],0.00672,3035138,A,3130975,C
147,93147.5,5678,2023-09-30,2023-10-31,M3,1.01785,39.40323,0.024495,2281.65,644.49,['£20.79'],0.00672,1144589,A,1152950,C
148,2093.1,3456,2023-09-30,2023-10-31,M3,1.02264,39.40323,0.0245869999999999,51.46,55.49,['£1.79'],0.0,37273,A,37460,A
149,25576.6,9012,2023-10-31,2023-11-30,M3,1.02264,39.49,0.035475,907.33,137.7,['£4.59'],0.00672,123898,A,126178,A
150,2490.3,1234,2023-10-31,2023-11-30,M3,1.02264,39.49,0.035562,88.56,44.7,['£1.49'],0.0,23642,A,23864,A
151,168785.1,5678,2023-10-31,2023-11-30,M3,1.01785,39.49,0.03547,5986.81,623.7,['£20.79'],0.00672,1152950,C,1168067,C
152,3825.3,3456,2023-10-31,2023-11-30,M3,1.02264,39.49,0.035562,136.03,53.7,['£1.79'],0.0,37460,A,37801,A
