,Unnamed: 0_level_0,Invoice information,Invoice information,Invoice information,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Distribution consumption,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Supply consumption charges,Standing charges,Standing charges,Site charges,Site charges,Distribution availability charge,Distribution availability charge,Distribution availability charge,Distribution fixed charge,Distribution fixed charge,Distribution fixed charge,Data collection,Data collection,Data collection,Settlement agency,Settlement agency,Settlement agency,Network Usage,Network Usage,Network Usage,Network Usage,Network Usage,Carbon Tax,Carbon Tax,Carbon Tax,Reactive power,Reactive power,Reactive power,Reconciliation,VAT,Total Charge (£),Total Charge (£),Total Charge (£),Total Charge (£)
,Unnamed: 0_level_1,start_date,end_date,mpan,Amber - Charge (£),Amber - Charge rate (£/kWh),Amber - Consumption (kWh),Green - Charge (£),Green - Charge rate (£/kWh),Green - Consumption (kWh),Red - Charge (£),Red - Charge rate (£/kWh),Red - Consumption (kWh),Day - Charge (£),Day - Charge rate (£/kWh),Day - Consumption (kWh),Night - Charge (£),Night - Charge rate (£/kWh),Night - Consumption (kWh),Charge rate (£/Days),Charge (£),Charge rate (£/Days),Charge (£),Charge rate (£/kVA),Charge (£),Consumption (kVA),Charge rate (£/Days),Charge (£),Consumption (Days),Charge rate (£/Days),Charge (£),Consumption (Days),Charge rate (£/kVA),Charge (£),Consumption (kVA),Forecast TRIAD,MD%,Consumption (kW),Charge rate (£/kW),Charge (£),Charge rate (£/kWh),Consumption (kWh),Charge (£),Charge rate (£/kW),Charge (£),Consumption (kW),Charge (£),Charge (£),Unnamed: 50_level_1,Unnamed: 51_level_1,Unnamed: 52_level_1,Unnamed: 53_level_1
21,21,2023-06-01,2023-06-30,1928,55.72,0.00642,8679.4,10.81,0.00091,11883.8,61.89,0.02458,2517.8,3591.3,0.203025,17688.97,1006.01,0.157119,6402.88,0.657534,19.73,0.072661,2.18,0.468,63.18,135.0,5.3465,160.4,30.0009351912466,0.6821918,20.47,30.0062240560499,0.02302,0.69,29.9739357080799,0.0,0.0,0.0,0.0,0.0,0.00775,"23,081",178.88,0.00065,0.01,15.3846153846154,0.0,1070.78,6242.05,,,
22,22,2023-07-01,2023-07-31,5647,294.58,0.00419,70305.2,43.14,0.00059,73112.7,269.95,0.01652,16340.9,27471.4,0.201378,136417.08,4324.17,0.159429,27122.86,0.657534,20.38,0.072661,2.25,0.5828,1255.93,2154.99313658202,235.4806,7299.9,31.0000059452881,1.3643836,42.3,31.0030111766222,0.02302,0.71,30.8427454387489,0.0,0.0,0.0,0.0,0.0,0.00775,"143,782.92",1114.32,0.0004,3.17,7925.0,819.54,9249.93,52211.67,,,
23,23,2023-07-01,2023-07-31,1928,61.44,0.00642,9570.5,14.21,0.00091,15617.3,70.16,0.02458,2854.3,4310.95,0.203025,21233.6,1262.82,0.157119,8037.36,0.657534,20.38,0.072661,2.25,0.4836,65.29,135.008271298594,5.3465,165.74,30.999719442626,0.6821918,21.15,31.0030111766222,0.02302,0.71,30.8427454387489,0.0,0.0,0.0,0.0,0.0,0.00775,"28,042.1",217.33,0.0,0.0,0.0,132.88,1253.66,7598.97,,,
24,24,2023-07-01,2023-07-31,9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.1,0.256655,1052.4,0.0,0.0,0.0,0.320499,9.94,0.086501,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,30.9973637961336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775,"1,052.4",8.16,0.0,0.0,0.0,4.62,60.07,369.68,,,
25,25,2023-08-01,2023-08-31,1928,68.13,0.00642,10612.1,13.63,0.00091,14976.8,79.59,0.02458,3237.8,4444.25,0.203025,21890.17,1288.31,0.157119,8199.59,0.657534,20.38,0.072661,2.25,0.4836,65.29,135.008271298594,5.3465,165.74,30.999719442626,0.6821918,21.15,31.0030111766222,0.02302,0.71,30.8427454387489,0.0,0.0,0.0,0.0,0.0,0.00775,"28,826.7",223.41,0.00065,0.03,46.1538461538462,145.35,1287.24,7825.46,,,
26,26,2023-08-01,2023-08-31,5647,367.87,0.00419,87796.4,25.78,0.00059,43693.3,410.9,0.01652,24873.1,28139.13,0.201378,139732.89,3243.23,0.159429,20342.81,0.657534,20.38,0.072661,2.25,0.5828,1255.93,2154.99313658202,235.4806,7299.9,31.0000059452881,1.3643836,42.3,31.0030111766222,0.02302,0.71,30.8427454387489,0.0,0.0,0.0,0.0,0.0,0.00775,"140,726.52",1090.63,0.0004,2.7,6750.0,1968.29,8992.57,52862.57,,,
27,27,2023-08-01,2023-08-31,9182,,,,,,,,,,259.48,0.256655,1011.0,0.0,0.0,0.0,0.320499,9.94,0.086501,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.4552,14.11,30.9973637961336,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.29,14.05,305.55,,,
28,28,2022-10-01,2022-10-31,5647,316.51,0.00336,94200.5,30.49,0.00034,89665.8,364.09,0.01763,20651.6,25245.79,0.145738,173227.21,4293.68,0.118845,36128.42,0.657534,20.38,0.07286,2.26,0.5456,1175.77,2155.00366568915,272.4772,8446.79,30.9999882558981,1.3643836,42.3,31.0030111766222,0.02302,0.71,30.8427454387489,-,85.00%,119.34,51.83943,6186.52,0.00775,"184,066.11",1426.51,0.00043,4.66,10837.2093023256,1129.7,8610.35,57296.51,,,
29,29,2023-01-01,2023-01-31,5647,333.28,0.00336,99189.1,17.44,0.00034,51283.3,398.86,0.01763,22623.9,22614.9,0.145738,155175.01,2665.58,0.118845,22429.02,0.657534,20.38,0.07286,2.26,0.5456,1175.77,2155.00366568915,272.4772,8446.79,30.9999882558981,1.3643836,42.3,31.0030111766222,0.02302,0.71,30.8427454387489,-,85.00%,131.88,51.83943,6836.58,0.00775,"155,786.67",1207.35,0.00043,7.93,18441.8604651163,85.56,8099.76,51955.45,,,
30,30,2022-12-01,2022-12-31,5647,282.91,0.00336,84200.0,13.33,0.00034,39196.0,367.56,0.01763,20848.3,19493.74,0.145738,133758.78,1695.21,0.118845,14264.05,0.657534,20.38,0.07286,2.26,0.5456,1175.77,2155.00366568915,272.4772,8446.79,30.9999882558981,1.3643836,42.3,31.0030111766222,0.02302,0.71,30.8427454387489,-,85.00%,62.72,51.83943,3251.37,0.00775,"129,819.87",1006.1,0.00043,3.19,7418.60465116279,2958.83,7185.77,45946.22,,,
31,31,2022-11-01,2022-11-30,5647,288.23,0.00336,85781.4,14.99,0.00034,44096.3,353.41,0.01763,20046.1,19395.33,0.145738,133083.53,2465.47,0.118845,20745.27,0.657534,19.73,0.07286,2.19,0.528,1137.84,2155.0,272.4772,8174.32,30.0000146801274,1.3643836,40.93,29.9988947389869,0.02302,0.69,29.9739357080799,-,85.00%,114.62,51.83943,5941.84,0.00775,"134,931.42",1045.72,0.00043,3.12,7255.81395348837,476.86,7297.41,46658.08,,,
